scope,task_type,task_name_repo,task_name_encompass,status,field,repo_value,encompass_value,repo_file,encompass_file
task,FundingQC_1008_Final,,1008,ENCOMPASS_ONLY,,,1 subtask(s),,tasks7.xml
task,FundingQC_Flood_Determination,,Flood Determination,ENCOMPASS_ONLY,,,2 subtask(s),,tasks7.xml
task,FundingQC_HO_Insurance_Dates,,Homeowner's Insurance Effective Dates,ENCOMPASS_ONLY,,,1 subtask(s),,tasks7.xml
task,FundingQC_Index_Set_Date,,Index Set Date,ENCOMPASS_ONLY,,,1 subtask(s),,tasks6.xml
task,FundingQC_Land_MLA,,Land MLA,ENCOMPASS_ONLY,,,3 subtask(s),,tasks7.xml
task,FundingQC_Loan_Estimates,,Loan Estimates,ENCOMPASS_ONLY,,,1 subtask(s),,tasks7.xml
task,FundingQC_MI_Certificate,,Mortgage Insurance Certificate,ENCOMPASS_ONLY,,,1 subtask(s),,tasks6.xml
task,FundingQC_Verbal_VOE,,Verbal VOE,ENCOMPASS_ONLY,,,1 subtask(s),,tasks7.xml
task,PipelineMgt_PreApp_FollowUp,,File Follow Up (30 Day),ENCOMPASS_ONLY,,,0 subtask(s),,tasks6.xml
task,PipelineMgt_PreApp_FollowUp15,,File Follow Up (15 Day),ENCOMPASS_ONLY,,,0 subtask(s),,tasks6.xml
task,PreClosing_Fraud_X_Report,,Fraud X Report,ENCOMPASS_ONLY,,,6 subtask(s),,tasks4.xml
task,PreDisclosure_PreApproval_1003,,1003 Quality Review (Pre-Approval),ENCOMPASS_ONLY,,,12 subtask(s),,tasks6.xml
task,PreDisclosure_PreApproval_Credit,,Credit Score Disclosure (Pre-Approval),ENCOMPASS_ONLY,,,6 subtask(s),,tasks6.xml
task,Processing_Appraisal_Ordering,,Order Appraisal,ENCOMPASS_ONLY,,,7 subtask(s),,tasks1.xml
task,Processing_Disclosures_HELOCDisclosure,,Redisclose HELOC Disclosure,ENCOMPASS_ONLY,,,1 subtask(s),,task5.xml
task,Processing_FileSetup_DislosureAlert,,Send Disclosures Alert,ENCOMPASS_ONLY,,,0 subtask(s),,task5.xml
